Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,1099.3,1444.80441,1437.88262,1481.03666,1415.16346,1442.07938,1436.74289,1443.16187,1335.74815,1526.68341,31.4294924,30.79983808,34.72543073,28.73314473,31.18160466,30.69616028,31.2800755,21.50897389,38.87777768
Argentina,7553.9,5382.15181,5270.99977,5289.71827,5378.74813,5487.18525,5417.84964,5454.77726,5523.88217,5322.939,-28.75002568,-30.22147804,-29.97367889,-28.79508426,-27.35957254,-28.27745085,-27.78859582,-26.87377156,-29.5338964
Australia,7091.2,6336.88346,6350.3569,6442.2603,6461.40035,6493.6725,6346.54833,6480.62319,6392.43213,6561.53564,-10.63736095,-10.4473587,-9.151338278,-8.88142557,-8.426324176,-10.5010671,-8.610345358,-9.854014412,-7.469319156
Bahamas,7445.5,6636.98712,6572.76255,6372.80316,6273.91565,6253.01035,6485.29139,6284.93715,6129.73068,6099.56903,-10.85908106,-11.72167685,-14.40731771,-15.73546908,-16.01624673,-12.896496,-15.58744006,-17.67200752,-18.07710657
Bolivia (Plurinational State of),2258,2487.15033,2469.67741,2494.47423,2482.81999,2463.08727,2448.98939,2459.476,2467.65917,2406.94914,10.148376,9.374553144,10.47272941,9.956598317,9.082695748,8.458343224,8.922763508,9.285171391,6.596507529
Botswana,667,1146.88013,1188.06181,1238.40221,1223.76991,1245.18342,1289.60723,1309.15203,,,71.94604648,78.12021139,85.66749775,83.47374963,86.68417091,93.34441229,96.27466717,,
Brazil,5695.3,4202.86761,4198.74415,4152.25059,4185.53375,4194.5026,4226.59481,4273.44364,4283.24064,4260.51563,-26.20463171,-26.27703282,-27.09338244,-26.50898548,-26.35150738,-25.78802153,-24.96543395,-24.79341492,-25.19242832
Burundi,1160.7,1600.36952,1603.23692,1615.9443,1577.30801,1562.82295,1556.28268,1564.52906,1497.10755,1540.35993,37.8796864,38.12672698,39.22153011,35.89282416,34.64486517,34.08138882,34.79185492,28.98316102,32.70956578
Chile,9181.4,10322.81681,10359.89223,10834.71779,10837.9299,10838.29678,10785.41148,10816.48333,10743.5489,10610.07684,12.43183839,12.83564848,18.00725151,18.04223648,18.04623238,17.47022763,17.80864933,17.01427778,15.56055547
Congo,1000,1180.35113,1171.87044,1188.43688,1187.63475,1194.05012,1143.26242,1153.5598,1129.65878,1125.25683,18.035113,17.187044,18.843688,18.763475,19.405012,14.326242,15.35598,12.965878,12.525683
Ecuador,3823.3,2628.96774,2631.76617,2660.83212,2667.44753,2692.09312,2619.52983,2611.00642,2648.11233,2842.39916,-31.23825648,-31.16506238,-30.40483038,-30.23180159,-29.58718594,-31.48510894,-31.70804227,-30.73752177,-25.65586901
Eswatini,1279.4,1529.78127,1553.77859,1552.17848,1528.74662,1518.09718,1465.36792,1505.82914,1678.16194,1645.33837,19.57021025,21.4458801,21.32081288,19.48934032,18.65696264,14.53555729,17.69807253,31.16788651,28.6023425
