Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,1237.5,2347.8514,2675.73714,2706.36537,2679.00129,2561.17715,2547.52067,2517.29501,2526.82201,2548.86019,89.72536566,116.221183,118.6961915,116.4849527,106.9638101,105.8602562,103.4177786,104.1876372,105.9685002
Argentina,6599.6,5376.58481,5777.88165,5756.19863,5766.82281,5735.53088,5790.35087,5797.57466,5773.94483,5688.66171,-18.53165631,-12.45103264,-12.77958316,-12.61860098,-13.09274986,-12.26209361,-12.15263561,-12.51068504,-13.80293184
Australia,10030.8,9556.1761,9426.16632,9432.15071,9342.43098,9210.79957,9187.22356,9184.62437,9147.46369,9195.90186,-4.73166547,-6.027771265,-5.968111118,-6.862553535,-8.174825836,-8.409862025,-8.435774116,-8.806239881,-8.323345496
Bolivia (Plurinational State of),2761.4,2621.0707,2554.24413,2556.82183,2589.93558,2601.11737,2579.05731,2576.16259,2603.6016,2578.43569,-5.081817194,-7.501842182,-7.408494604,-6.209329326,-5.804397407,-6.603269718,-6.708097704,-5.714434707,-6.625780763
Brazil,6610.8,4696.1467,4787.33431,4783.32633,4760.43476,4737.65838,4717.2283,4704.32823,4797.90761,4825.18537,-28.96250529,-27.583132,-27.64375976,-27.99003509,-28.33456798,-28.64360894,-28.83874524,-27.4231922,-27.01056801
Burkina Faso,2237.7,2161.84264,2182.9782,2167.10561,2151.68887,2154.51458,2151.69039,2158.38588,2152.09886,2145.62466,-3.389970059,-2.445448452,-3.154774545,-3.843729276,-3.717451848,-3.843661349,-3.544448317,-3.825407338,-4.114731197
Cambodia,3345.4,2738.42074,2705.36773,2715.3439,2718.9823,2711.80922,2703.53707,2731.69686,2780.23512,2867.62943,-18.14369761,-19.13171131,-18.83350571,-18.72474741,-18.93916363,-19.18643301,-18.34468644,-16.89379088,-14.28141837
Chile,6429.4,5928.41694,5898.43334,5802.73666,5820.08533,5805.99802,5775.05074,5774.19949,5798.35968,5783.47065,-7.792065512,-8.25841696,-9.746840141,-9.477006719,-9.696114412,-10.17745451,-10.19069447,-9.814917722,-10.04649501
Congo,586.4,969.16602,859.98993,847.65249,846.98535,852.58288,848.0515,803.03681,817.065,821.11063,65.2738779,46.65585437,44.55192531,44.43815655,45.39271487,44.6199693,36.94352149,39.33577763,40.02568724
Egypt,9620.3,9221.28962,9228.5134,9252.52799,9243.66575,9252.24626,9220.26295,9328.69362,9328.95662,9375.51364,-4.147587705,-4.072498779,-3.82287465,-3.914994855,-3.825803145,-4.158259618,-3.031156825,-3.028423022,-2.544477407
Ethiopia,3031.9,2668.02241,2621.61365,2606.23047,2621.83735,2633.63133,2640.79204,2620.8531,2633.17879,2226.1973,-12.00163561,-13.53231802,-14.03969557,-13.52493981,-13.13594347,-12.8997645,-13.55740295,-13.15086942,-26.5741845
Gambia,660.3,1160.67749,1168.07348,1155.86741,1172.6174,1177.97544,1188.21937,1188.35934,1138.15824,,75.78032561,76.90042102,75.05185673,77.58858095,78.40003635,79.95144177,79.97263971,72.36986824,
