Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Argentina,2806.7,2095.52342,2076.0054,2070.98516,2071.08627,2048.70995,2043.6356,2036.40555,2010.4538,2002.93711,-25.33853208,-26.03394021,-26.2128065,-26.20920405,-27.00645064,-27.18724481,-27.44484448,-28.36948017,-28.63729255
Australia,1718.1,1883.08995,1863.60235,1873.41146,1850.33427,1883.66633,1886.14009,1848.29282,1833.30576,1821.18618,9.60304697,8.468794017,9.039721786,7.696540946,9.636594494,9.7805768,7.577720738,6.705416448,6.000010477
Bolivia (Plurinational State of),2318.7,2002.94996,2019.30501,2033.68197,2058.2627,2073.05378,2074.5782,2048.68327,2036.25953,2241.978,-13.61754604,-12.91219175,-12.29214776,-11.2320395,-10.59413551,-10.52839091,-11.64517747,-12.18098374,-3.308836848
Brazil,3445.2,2684.16001,2673.66753,2659.89209,2665.71637,2680.26282,2700.90662,2729.76395,2699.40812,2895.58448,-22.08986387,-22.39441745,-22.79426187,-22.62520695,-22.20298328,-21.60377859,-20.76616887,-21.64727389,-15.95308023
Colombia,2530.5,2374.91661,2379.80286,2363.66204,2364.885,2408.14897,2424.88727,2390.45638,2383.29442,2335.74219,-6.148326023,-5.955231772,-6.59308279,-6.544754001,-4.835053547,-4.173591385,-5.534227228,-5.817252717,-7.696416123
Ecuador,1067.5,1599.12215,1587.92415,1587.88042,1596.17578,1617.78358,1588.50842,1605.93654,1614.42511,1578.67037,49.80066979,48.75167681,48.74758033,49.52466323,51.54881311,48.80640937,50.43902014,51.23420234,47.88481218
Paraguay,2894.8,2723.35054,2724.47144,2755.99936,2776.38099,2791.85231,2811.70419,2852.87938,2824.91387,2734.90684,-5.922670305,-5.88394915,-4.794826586,-4.090749275,-3.556297154,-2.870519898,-1.448135277,-2.414195454,-5.523461379
Peru,2206.8,1773.94595,1771.41211,1781.32833,1788.15414,1786.88754,1785.43982,1791.06284,1796.6772,1810.99821,-19.61455728,-19.72937693,-19.28002855,-18.9707205,-19.02811582,-19.09371851,-18.83891426,-18.58450245,-17.93555329
South Africa,2293.6,1748.61834,1763.7926,1757.09798,1762.37753,1771.83924,1772.70117,1744.94781,1724.09979,1694.81748,-23.76097227,-23.09938089,-23.39126352,-23.16107735,-22.74855075,-22.71097096,-23.92100584,-24.82997079,-26.10666725
Suriname,1250,1311.0105,1302.80574,1330.3461,1324.77158,1339.86739,1376.06461,1450.5193,1499.30727,,4.88084,4.2244592,6.427688,5.9817264,7.1893912,10.0851688,16.041544,19.9445816,
Uruguay,1880.2,1844.98028,1824.21751,1773.2243,1797.10752,1778.80778,1774.01881,1849.59659,1822.41013,1908.1307,-1.873190086,-2.977475269,-5.689591533,-4.419342623,-5.392629507,-5.647334858,-1.627667801,-3.073602276,1.485517498
Zimbabwe,1570.2,1423.60289,1425.84311,1414.09925,1419.77616,1392.81195,1403.74394,1356.6233,1347.34949,1423.40676,-9.336206216,-9.193535218,-9.941456502,-9.579915934,-11.29716278,-10.60094638,-13.60187874,-14.19249204,-9.348696981
