Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,875.7,1026.15149,1026.08527,1025.65343,1021.8811,1034.51746,1048.88049,1076.88461,1098.26821,1118.45434,17.18071143,17.17314948,17.12383579,16.69305698,18.13605801,19.77623501,22.97414754,25.41603403,27.7211762
Argentina,2938.7,2697.74352,2682.40053,2615.22798,2623.78005,2704.8925,2720.92262,2725.76338,,,-8.199424235,-8.721525504,-11.00731684,-10.71630143,-7.956154082,-7.410670705,-7.245946167,,
Australia,1468.1,1881.3252,1850.1383,1895.81688,1849.79099,1883.79645,2067.92987,1938.92802,1954.17893,1922.99162,28.14693822,26.0226347,29.13404264,25.99897759,28.31526803,40.85756216,32.07056876,33.10938833,30.98505688
Botswana,1361.5,1416.03959,1347.77094,1283.69437,1252.09961,1180.68025,1552.32349,2261.09195,1473.55473,1266.19033,4.005845758,-1.008377525,-5.714699229,-8.035283878,-13.28092178,14.0156805,66.07359163,8.230240911,-7.000343004
Brazil,2607.9,2413.47954,2406.05277,2387.8785,2439.76436,2451.20647,2387.05714,2373.99705,2420.86622,2405.28561,-7.455058093,-7.739837801,-8.436730703,-6.447165919,-6.008417884,-8.468225776,-8.9690153,-7.171815637,-7.769254573
Burundi,716.1,818.53682,819.36675,817.27036,840.55184,831.99195,861.14481,881.0495,874.36104,845.18503,14.30482056,14.42071638,14.12796537,17.37911465,16.18376623,20.25482614,23.03442257,22.10041056,18.02611786
Chile,6003.8,5337.39084,5386.62191,5460.05798,5455.50437,5487.82111,5113.06659,4958.89998,4707.08834,,-11.09978947,-10.27979097,-9.056631134,-9.132476598,-8.59420517,-14.8361606,-17.40397781,-21.59818215,
Democratic Republic of the Congo,1125,1286.0011,1290.21611,1293.11937,1300.27145,1299.61319,1290.08025,1286.04436,1286.53027,1278.40445,14.31120889,14.68587644,14.943944,15.57968444,15.52117244,14.6738,14.31505422,14.35824622,13.63595111
Eswatini,1821.6,2004.12521,2076.58928,1744.91318,1700.22363,1730.75192,1718.84607,1686.51806,1548.86017,1530.61713,10.02004886,13.99809398,-4.209860562,-6.663173584,-4.987268336,-5.640861331,-7.415565437,-14.97254227,-15.97402668
Lesotho,697,942.3027,942.53575,921.84864,905.88384,921.14357,1100.52888,944.93254,812.8198,794.3346,35.19407461,35.22751076,32.25948924,29.96898709,32.15833142,57.89510473,35.57138307,16.616901,13.96479197
