Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Afghanistan,1934.4,2141.04731,2116.86036,2139.74653,2158.20385,2203.5054,2096.68832,1989.99523,,,10.68276003,9.432400744,10.61551541,11.56967794,13.91156948,8.389594706,2.874029673,,
Albania,7035.9,5649.16518,5627.91562,5547.98114,5641.36957,5598.56328,5709.15186,5911.44537,6250.22967,,-19.70941628,-20.01143251,-21.14752711,-19.8202139,-20.42861212,-18.85683623,-15.98167441,-11.16659319,
Algeria,6073.9,5413.17193,5353.99811,5344.0532,5432.47295,5370.418,5523.47544,6095.50806,5370.18075,4543.01803,-10.87815193,-11.85238298,-12.01611485,-10.56038213,-11.58204778,-9.062127463,0.355752647,-11.58595384,-25.20426695
Angola,1099.3,1444.80441,1437.88262,1481.03666,1415.16346,1442.07938,1436.74289,1443.16187,1335.74815,1526.68341,31.4294924,30.79983808,34.72543073,28.73314473,31.18160466,30.69616028,31.2800755,21.50897389,38.87777768
Antigua and Barbuda,3800,1699.05934,1700.17149,1793.05468,1825.05897,1738.1169,1770.63739,,,,-55.28791211,-55.258645,-52.81435053,-51.97213237,-54.26008158,-53.40427921,,,
Argentina,7553.9,5382.15181,5270.99977,5289.71827,5378.74813,5487.18525,5417.84964,5454.77726,5523.88217,5322.939,-28.75002568,-30.22147804,-29.97367889,-28.79508426,-27.35957254,-28.27745085,-27.78859582,-26.87377156,-29.5338964
Armenia,5206.8,4984.14131,4903.6874,4844.20931,4738.60659,4841.27146,5085.57967,,,,-4.276305792,-5.821475762,-6.963791388,-8.991960705,-7.020214719,-2.328115733,,,
Australia,7091.2,6336.88346,6350.3569,6442.2603,6461.40035,6493.6725,6346.54833,6480.62319,6392.43213,6561.53564,-10.63736095,-10.4473587,-9.151338278,-8.88142557,-8.426324176,-10.5010671,-8.610345358,-9.854014412,-7.469319156
Austria,11344.9,8694.62959,8649.79283,8634.31673,8614.82479,8561.14876,9203.32934,8494.40309,8746.74512,9071.9114,-23.36089706,-23.75611217,-23.89252677,-24.06433913,-24.53746829,-18.87694612,-25.12580023,-22.90152298,-20.03533394
Azerbaijan,9338,6499.15957,6746.94854,6844.6877,7041.41101,6998.41382,7219.18686,,,,-30.40094699,-27.74739195,-26.70071,-24.5940136,-25.05446755,-22.69022425,,,
Bahamas,7445.5,6636.98712,6572.76255,6372.80316,6273.91565,6253.01035,6485.29139,6284.93715,6129.73068,6099.56903,-10.85908106,-11.72167685,-14.40731771,-15.73546908,-16.01624673,-12.896496,-15.58744006,-17.67200752,-18.07710657
Bangladesh,8512.3,6222.04788,6055.93556,6092.42458,5894.51555,,,,,,-26.90520917,-28.85664791,-28.42798562,-30.75296277,,,,,
Barbados,2765.6,2552.34888,2522.16344,2336.83556,2256.22669,2361.98513,2450.55939,,,,-7.710844663,-8.802305467,-15.50348713,-18.41818448,-14.59411592,-11.39140187,,,
Belarus,5037.8,4902.00355,4834.79002,4789.80443,4847.70848,4943.56187,4974.80589,4710.66953,4932.45158,,-2.695550637,-4.029734805,-4.92269582,-3.77330422,-1.870620707,-1.250428957,-6.493518401,-2.091159236,
Belgium,8115.1,9203.06878,9196.08438,9311.59781,9313.04602,9380.28945,10823.77541,10476.06858,10188.29243,11032.28745,13.40672056,13.32065384,14.744092,14.76193787,15.59055896,33.37821358,29.09352417,25.54734298,35.94764636
Belize,3582.5,3061.29261,3030.27336,3006.31652,2887.67288,2990.197,,,,,-14.54870593,-15.41456078,-16.08327927,-19.39503475,-16.53323098,,,,
Benin,1271.8,1409.20833,1442.80309,1418.61605,1814.93829,1887.20052,1366.03238,1331.60844,1618.23122,1263.18512,10.80424045,13.44575326,11.54395738,42.70626592,48.38815223,7.40937097,4.702660796,27.23944174,-0.677376946
Bhutan,3620.8,3025.30226,3029.70923,2973.47999,3049.42217,3162.51262,3225.26306,2989.99111,3014.694,2930.67138,-16.44657921,-16.3248666,-17.87781733,-15.78043057,-12.65707523,-10.92402066,-17.42180982,-16.73956032,-19.06011434
Bolivia (Plurinational State of),2258,2487.15033,2469.67741,2494.47423,2482.81999,2463.08727,2448.98939,2459.476,2467.65917,2406.94914,10.148376,9.374553144,10.47272941,9.956598317,9.082695748,8.458343224,8.922763508,9.285171391,6.596507529
Bosnia and Herzegovina,7112.4,6391.07676,6415.21442,6465.39995,6411.00935,6545.21245,6850.97107,5990.8976,6913.732,6347.71858,-10.14176987,-9.802395535,-9.09678941,-9.861518615,-7.97462952,-3.675678111,-15.7682695,-2.793262471,-10.75138378
Botswana,667,1146.88013,1188.06181,1238.40221,1223.76991,1245.18342,1289.60723,1309.15203,,,71.94604648,78.12021139,85.66749775,83.47374963,86.68417091,93.34441229,96.27466717,,
