Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Afghanistan,4441.7,3840.9172,3852.35334,3907.29253,3672.2065,3631.51619,3633.14522,3620.88488,3827.43352,3706.92372,-13.52596528,-13.26849314,-12.03159759,-17.32430151,-18.24039917,-18.20372335,-18.47975145,-13.82953554,-16.54268141
Algeria,1791,3970.46544,3869.12535,3381.35429,3530.7534,4122.81533,4196.80054,4450.82136,5019.6381,4384.41769,121.6898626,116.0315662,88.79700112,97.13865997,130.1962775,134.3272217,148.5104054,180.270134,144.8027744
Angola,1237.5,2347.8514,2675.73714,2706.36537,2679.00129,2561.17715,2547.52067,2517.29501,2526.82201,2548.86019,89.72536566,116.221183,118.6961915,116.4849527,106.9638101,105.8602562,103.4177786,104.1876372,105.9685002
Argentina,6599.6,5376.58481,5777.88165,5756.19863,5766.82281,5735.53088,5790.35087,5797.57466,5773.94483,5688.66171,-18.53165631,-12.45103264,-12.77958316,-12.61860098,-13.09274986,-12.26209361,-12.15263561,-12.51068504,-13.80293184
Australia,10030.8,9556.1761,9426.16632,9432.15071,9342.43098,9210.79957,9187.22356,9184.62437,9147.46369,9195.90186,-4.73166547,-6.027771265,-5.968111118,-6.862553535,-8.174825836,-8.409862025,-8.435774116,-8.806239881,-8.323345496
Azerbaijan,3131.4,3428.12859,3413.29876,3441.71648,3454.13172,3344.12742,3385.66012,3415.58315,3233.90738,3024.25779,9.47590822,9.002323561,9.909832024,10.30630772,6.793364629,8.119694705,9.075274638,3.273531967,-3.421543399
Bangladesh,4808.8,4324.51846,4325.0333,4352.85663,4323.01728,4296.74925,4276.34762,4240.58385,4225.54236,,-10.07073573,-10.06002953,-9.481437573,-10.10195309,-10.64820225,-11.07245841,-11.81617347,-12.1289644,
Belize,4525.2,4141.42977,4066.20344,4125.81027,4119.9313,4130.34941,4117.53172,4085.17005,4171.98016,,-8.480735216,-10.14312207,-8.825902281,-8.955818527,-8.725594228,-9.008845576,-9.723988995,-7.805618315,
Benin,3935.3,2939.32111,2982.26704,3037.98642,3051.73244,3037.79627,2898.95373,3035.5213,2975.36902,3466.35247,-25.30884278,-24.21754275,-22.80165629,-22.45235586,-22.8064882,-26.33461922,-22.86429751,-24.3928285,-11.91643661
Bhutan,4264.4,3681.52734,3619.82052,3545.725,3545.62853,3633.62063,3619.80243,3718.60411,3587.77603,,-13.66833927,-15.1153616,-16.85289841,-16.85516063,-14.7917496,-15.11578581,-12.79889058,-15.86680354,
Bolivia (Plurinational State of),2761.4,2621.0707,2554.24413,2556.82183,2589.93558,2601.11737,2579.05731,2576.16259,2603.6016,2578.43569,-5.081817194,-7.501842182,-7.408494604,-6.209329326,-5.804397407,-6.603269718,-6.708097704,-5.714434707,-6.625780763
Brazil,6610.8,4696.1467,4787.33431,4783.32633,4760.43476,4737.65838,4717.2283,4704.32823,4797.90761,4825.18537,-28.96250529,-27.583132,-27.64375976,-27.99003509,-28.33456798,-28.64360894,-28.83874524,-27.4231922,-27.01056801
Bulgaria,5328.7,4901.81586,4865.18957,4992.73864,4984.33517,4941.31181,4769.76404,4781.45357,4802.50678,,-8.011037214,-8.698377278,-6.304752754,-6.46245482,-7.26984424,-10.48916171,-10.26979244,-9.874701522,
Burkina Faso,2237.7,2161.84264,2182.9782,2167.10561,2151.68887,2154.51458,2151.69039,2158.38588,2152.09886,2145.62466,-3.389970059,-2.445448452,-3.154774545,-3.843729276,-3.717451848,-3.843661349,-3.544448317,-3.825407338,-4.114731197
Burundi,2633.5,3693.15305,3735.65075,3722.85228,3739.0268,3736.91954,3749.4511,2921.53061,3015.22032,3026.9945,40.23744257,41.85117714,41.36519005,41.97937346,41.89935599,42.3752079,10.93717904,14.49479096,14.94188343
Cambodia,3345.4,2738.42074,2705.36773,2715.3439,2718.9823,2711.80922,2703.53707,2731.69686,2780.23512,2867.62943,-18.14369761,-19.13171131,-18.83350571,-18.72474741,-18.93916363,-19.18643301,-18.34468644,-16.89379088,-14.28141837
Cameroon,2131.2,1822.09075,1939.68897,1621.63569,1668.98283,1711.3164,1737.64713,1834.90417,1810.03857,1637.73994,-14.50400009,-8.986065597,-23.90973677,-21.68811796,-19.7017455,-18.46625704,-13.9027698,-15.06951154,-23.15409441
Central African Republic,900,1491.79502,1494.37448,1504.82715,1511.55237,1502.18102,1495.07414,1553.28381,1554.275,,65.75500222,66.04160889,67.20301667,67.95026333,66.90900222,66.11934889,72.58709,72.69722222,
Chad,1469.8,1415.24056,1409.22783,1428.48558,1377.4771,1376.85037,1373.99271,1361.50903,1372.73006,,-3.712031569,-4.121116478,-2.810887196,-6.28132399,-6.323964485,-6.518389577,-7.367735066,-6.604295823,
Chile,6429.4,5928.41694,5898.43334,5802.73666,5820.08533,5805.99802,5775.05074,5774.19949,5798.35968,5783.47065,-7.792065512,-8.25841696,-9.746840141,-9.477006719,-9.696114412,-10.17745451,-10.19069447,-9.814917722,-10.04649501
China,7040.2,6740.93619,6641.59188,6619.30862,6566.95974,6546.03492,6470.00623,6625.38977,6480.08091,6755.34136,-4.250785631,-5.66188631,-5.978400898,-6.721971819,-7.019190932,-8.099113235,-5.89202338,-7.956011051,-4.046172552
Colombia,4631.9,4325.55926,4350.90271,4373.55578,4337.73577,4291.22624,4312.96222,4301.46907,4094.82603,4311.7379,-6.613716617,-6.06656642,-5.577499946,-6.35083292,-7.35494635,-6.885679311,-7.133809668,-11.59511151,-6.91211166
Congo,586.4,969.16602,859.98993,847.65249,846.98535,852.58288,848.0515,803.03681,817.065,821.11063,65.2738779,46.65585437,44.55192531,44.43815655,45.39271487,44.6199693,36.94352149,39.33577763,40.02568724
Costa Rica,3670.1,3751.68967,3758.04211,3839.09311,3806.94153,3863.22583,3818.48942,3807.56995,3834.00854,3664.48031,2.223091196,2.396177488,4.604591428,3.728550448,5.262140814,4.043198278,3.745673142,4.466051061,-0.153120896
Cote d'Ivoire,2802.3,2249.11624,2157.29418,2419.0446,2458.00603,2504.9358,2516.04666,2473.92731,2443.18329,2222.74312,-19.74034757,-23.01701531,-13.67645862,-12.28612104,-10.61143347,-10.21494273,-11.7179706,-12.81507012,-20.68147165
Cuba,3573.9,3626.83343,3671.68156,3507.93224,3501.66948,3508.31233,3515.98689,3550.21813,3577.91919,3538.59357,1.481111111,2.735990375,-1.845819973,-2.021055989,-1.835184812,-1.620445732,-0.662633817,0.112459498,-0.987896416
Democratic People's Republic of Korea,4493,4626.31172,4740.24643,4806.53518,4737.27525,4718.61608,4855.84696,4909.41217,4705.25957,4538.86839,2.967098153,5.502925217,6.978303583,5.436796127,5.021501892,8.075828177,9.268020699,4.724228133,1.0208856
Democratic Republic of the Congo,1118.4,828.40324,828.09811,843.66783,854.7245,853.87807,847.12348,858.18139,862.38739,,-25.92961016,-25.95689288,-24.56475054,-23.57613555,-23.65181778,-24.25576896,-23.2670431,-22.89097014,
Dominican Republic,5654,5076.51834,5065.747,5024.62233,5023.51884,5012.31902,5038.78531,5251.98023,5201.47108,5360.27914,-10.21368341,-10.40419172,-11.13154705,-11.15106403,-11.34915069,-10.88105218,-7.110360276,-8.003695083,-5.194921472
Ecuador,3427.3,3721.76919,3733.14328,3747.3735,3745.17463,3748.87359,3764.52126,3762.68433,3736.33096,3777.47363,8.59187086,8.92373822,9.338940274,9.274782774,9.38270913,9.839268812,9.785671812,9.01674671,10.21718641
Egypt,9620.3,9221.28962,9228.5134,9252.52799,9243.66575,9252.24626,9220.26295,9328.69362,9328.95662,9375.51364,-4.147587705,-4.072498779,-3.82287465,-3.914994855,-3.825803145,-4.158259618,-3.031156825,-3.028423022,-2.544477407
El Salvador,7326.3,5898.89108,5978.81004,6526.6458,6516.1372,6528.12141,6588.25869,6791.10712,6853.42084,6788.03305,-19.4833534,-18.39250317,-10.91484378,-11.05828044,-10.89470251,-10.07386143,-7.305090974,-6.454542675,-7.347050353
Eswatini,3233.3,3045.36456,3053.39357,3066.95472,3094.34428,3102.36668,3098.09254,3082.29828,3092.36684,3091.89257,-5.812496211,-5.564173754,-5.14475242,-4.297643893,-4.049525871,-4.181717131,-4.670204435,-4.358802462,-4.373470757
Ethiopia,3031.9,2668.02241,2621.61365,2606.23047,2621.83735,2633.63133,2640.79204,2620.8531,2633.17879,2226.1973,-12.00163561,-13.53231802,-14.03969557,-13.52493981,-13.13594347,-12.8997645,-13.55740295,-13.15086942,-26.5741845
Fiji,3772.5,2660.37343,2762.47826,2753.32096,2751.63842,2723.21003,2717.93728,2786.36521,2869.41297,2907.6118,-29.47982956,-26.77327343,-27.01601166,-27.0606118,-27.81418078,-27.95394884,-26.14008721,-23.93868867,-22.92612856
France,5269.6,5241.18943,5265.67201,5234.42419,5142.10335,5054.48729,4981.15456,4852.68257,4817.47498,5034.49058,-0.539140922,-0.074540572,-0.667523341,-2.419474913,-4.082144945,-5.473763474,-7.911747191,-8.579873615,-4.46161796
Gabon,2808.9,2842.30549,2887.76356,2875.67141,2855.13607,2878.15156,2887.74755,2822.7216,2867.70606,3029.93425,1.189273025,2.807631457,2.377137314,1.646056107,2.465433444,2.807061483,0.492064509,2.093561893,7.869067963
Gambia,660.3,1160.67749,1168.07348,1155.86741,1172.6174,1177.97544,1188.21937,1188.35934,1138.15824,,75.78032561,76.90042102,75.05185673,77.58858095,78.40003635,79.95144177,79.97263971,72.36986824,
Ghana,3343.6,2879.02826,2919.27838,2995.60209,2972.02674,3005.14964,2817.98983,2664.12437,2626.87009,,-13.89435758,-12.69056167,-10.40788103,-11.11296985,-10.12233401,-15.71988785,-20.32167813,-21.43587481,
Greece,7963.7,7609.64297,7562.26804,7513.60158,7387.92321,7316.20375,7210.4988,6946.12516,6839.8578,,-4.445886083,-5.040772003,-5.651875636,-7.230016073,-8.130595703,-9.457930359,-12.77766415,-14.11206098,
Guatemala,2617.8,2994.39947,3021.84038,3053.1939,2966.47985,3002.01901,2902.625,2876.04798,3009.42144,,14.38610551,15.43434869,16.63205363,13.3195756,14.67717205,10.88031935,9.865076782,14.95994499,
Guinea,1470,1421.80331,1414.33951,1436.84848,1454.1491,1476.45715,1464.00278,1426.8036,1436.26534,,-3.278686395,-3.786427891,-2.255205442,-1.078292517,0.439261905,-0.40797415,-2.938530612,-2.29487483,
Guinea-Bissau,1663,1719.84731,1807.86372,1967.48597,1999.43772,2055.16365,2072.97496,2008.39869,,,3.41835899,8.710987372,18.30943897,20.2307709,23.58169874,24.65273361,20.76961455,,
Guyana,5701.3,4777.82464,4645.8561,4684.92489,4722.8775,4671.48554,4700.73429,4810.58996,4797.50439,4867.18385,-16.19762791,-18.51233754,-17.82707646,-17.16139302,-18.06280076,-17.5497818,-15.62292881,-15.85244786,-14.63027994
Haiti,2676,2056.98669,1971.84403,2411.17962,2460.28608,2474.34245,2474.58692,,,,-23.132037,-26.31375075,-9.896127803,-8.061058296,-7.535782885,-7.526647235,,,
Honduras,3256.5,4753.38274,4777.90068,4709.70009,4751.33649,4768.26326,4747.55149,4669.66596,,,45.96599846,46.71889083,44.62459972,45.9031626,46.42294672,45.78693352,43.39523906,,
Hungary,3926.4,4068.13309,3966.70144,3953.07695,4012.7715,4102.22906,4002.39145,3948.89865,3991.25291,,3.609746587,1.026422168,0.679425173,2.199763142,4.478123981,1.935397565,0.573009627,1.651714293,
India,4074.8,3633.56944,3629.09031,3632.77195,3663.00545,3660.962,3628.45851,3629.7559,3649.70471,,-10.82827525,-10.93819795,-10.84784652,-10.10588372,-10.1560322,-10.953703,-10.92186365,-10.43229827,
Indonesia,5127.9,4796.03475,4834.22673,4823.90585,4811.83379,4780.77748,4804.03157,4822.28645,4818.78737,4804.55495,-6.471757445,-5.72696952,-5.928238655,-6.163657833,-6.769291913,-6.315810176,-5.959818834,-6.028054954,-6.305603658
Iran (Islamic Republic of),3681.8,4770.73133,4865.5495,4886.49386,4985.94436,4638.2278,4648.88969,4652.94873,4631.22484,4833.63657,29.57605872,32.15137976,32.72024173,35.42137976,25.97717964,26.26676327,26.37700934,25.78697485,31.28460454
Iraq,4568.8,3773.71624,3938.12348,3861.24845,3829.41551,3872.46837,3706.52517,3598.68213,3416.87896,3867.80794,-17.40246367,-13.80398617,-15.48659495,-16.18334114,-15.24101799,-18.87311395,-21.23353769,-25.21277009,-15.34302355
Italy,6631.6,6507.20971,6512.08025,6430.81792,6377.3834,6369.55797,6271.82111,6248.65585,6073.11409,5915.69367,-1.875720641,-1.802276223,-3.027656674,-3.833412751,-3.951414892,-5.425220007,-5.774536311,-8.421586193,-10.79537864
Japan,7160.7,4845.27194,4964.40188,4965.9886,4639.62139,4648.69113,4543.1623,4945.5525,4389.11524,3307.35048,-32.33521946,-30.67155613,-30.64939741,-35.20715307,-35.08049311,-36.55421537,-30.93478989,-38.7055003,-53.81246973
Kazakhstan,5443.8,4411.1228,4393.91508,4554.44912,4332.7803,4369.23251,4394.20282,4208.02054,4333.76276,,-18.96978581,-19.28588339,-16.33694992,-20.40890003,-19.73929039,-19.28059774,-22.7006771,-20.39085271,
Kenya,6397.3,3692.07944,3708.49804,3731.2718,3645.55502,3654.18718,3731.53467,3769.09511,4086.78508,3937.69701,-42.28691104,-42.03026214,-41.67427196,-43.01416191,-42.87922749,-41.67016288,-41.08303331,-36.1170325,-38.44751676
Kyrgyzstan,3728.8,3598.72736,3591.12498,3606.31071,3654.93554,3615.87445,3628.43713,3615.89587,3252.57296,,-3.488324394,-3.692207144,-3.284951995,-1.980917722,-3.028468944,-2.691559483,-3.027894497,-12.77158979,
Lao People's Democratic Republic,3818.1,3959.53032,3997.30382,4021.94502,4030.17239,4058.67553,4139.27691,4168.58643,3872.59527,4379.28425,3.704206804,4.693533957,5.338912548,5.554395904,6.30092271,8.41195647,9.179603206,1.427287656,14.6979977
Liberia,1148.1,1332.79107,1382.99302,1391.18175,1441.09679,1394.2621,1412.53258,1486.93418,1494.44258,1360.46289,16.08667102,20.45928229,21.17252417,25.52014546,21.44082397,23.03219058,29.51260169,30.16658653,18.49689835
Madagascar,2524.8,3190.7175,3141.43391,3125.338,3090.29669,3104.51126,3091.15646,3087.16573,3054.33377,3084.23748,26.37505941,24.42307945,23.78556717,22.39768259,22.96068045,22.43173558,22.27367435,20.97329571,22.15769487
Malawi,1998.9,1677.77312,1557.03591,1568.66774,1557.45326,1569.66953,1533.37529,1475.57605,1444.56106,1467.88727,-16.06517985,-22.10536245,-21.5234509,-22.08448347,-21.47333383,-23.28904447,-26.18059683,-27.73219971,-26.56524739
Malaysia,3653.8,3794.15949,3794.11252,3789.42214,3777.20178,3793.79434,3806.7719,3818.40596,3840.40951,3838.90633,3.841466145,3.840180634,3.711810718,3.377354535,3.83147244,4.186652252,4.505062127,5.107272155,5.066131972
Mali,3351.7,2821.35077,2881.08998,2887.87794,2910.55749,2905.77199,2900.80864,2943.41328,2990.52281,,-15.82329057,-14.04093505,-13.83841215,-13.16175404,-13.30453233,-13.45261688,-12.18148164,-10.77594027,
Mauritania,4283.8,4457.43957,4450.80902,4458.12459,4419.17135,4475.40422,4439.86768,4407.311,4337.32133,4628.63816,4.053400486,3.898618516,4.069391428,3.160076334,4.472762967,3.643206499,2.883211168,1.249389094,8.049819319
Mexico,6210.7,5372.39559,5428.56542,5494.33954,5508.79512,5485.52502,5506.28133,5495.51674,5458.23042,5505.81025,-13.49774438,-12.5933402,-11.53429501,-11.30154218,-11.67621975,-11.34201732,-11.51534062,-12.11569678,-11.3496023
Morocco,11351.1,6942.39326,6908.33554,6882.36253,6922.18869,6863.68462,6798.92816,6831.59877,6922.34128,6714.61156,-38.83946701,-39.13950595,-39.36832087,-39.01746359,-39.532868,-40.10335421,-39.81553532,-39.01611932,-40.84615976
Mozambique,1201.3,772.72393,784.49752,798.15453,800.12029,838.06025,864.67808,907.47972,936.41378,936.77646,-35.67602347,-34.69595272,-33.55910014,-33.39546408,-30.23722218,-28.02147007,-24.4585266,-22.04996421,-22.01977358
Myanmar,3865.2,3980.84406,3972.5661,3956.34637,3875.13735,3917.996,3916.32033,3892.83113,3819.96675,4285.94395,2.991929525,2.777763117,2.358128169,0.257097951,1.365931905,1.322579168,0.714869347,-1.170269326,10.88543801
Nepal,3815.3,3400.7924,3442.16753,3392.92125,3372.49856,3546.82871,3542.15266,3546.69925,3543.11346,,-10.86435143,-9.779898566,-11.0706563,-11.60594029,-7.036701963,-7.159262443,-7.040095143,-7.134079627,
Nicaragua,6446.4,4542.32529,4565.45587,4675.88306,4599.68421,4614.38343,4694.115,4684.34177,4488.55431,4857.03481,-29.53702392,-29.17821001,-27.46520446,-28.64724172,-28.41921956,-27.18238086,-27.33398843,-30.37114808,-24.65508175
Niger,4577.9,3822.84773,3796.528,3764.9804,3762.22471,3785.70824,3779.93986,3752.45489,3830.58737,,-16.49341991,-17.06835012,-17.75747832,-17.81767382,-17.30469779,-17.43070272,-18.03108652,-16.32435462,
Nigeria,1947.9,1807.01265,1997.52104,1988.40217,1991.71003,1869.02777,1846.93647,1903.87873,1777.47256,2071.78597,-7.232781457,2.547412085,2.079273577,2.249090302,-4.049090302,-5.18319883,-2.259934802,-8.749291031,6.359975871
