Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Albania,2578.9,1656.90624,1662.28167,1808.70817,1817.4409,1815.35902,1820.19834,1820.87644,1880.97249,1981.00117,-35.75143511,-35.54299624,-29.86512971,-29.52650743,-29.60723487,-29.41958432,-29.39329016,-27.06299236,-23.18425802
Angola,1039.8,693.12727,707.14822,687.99141,722.27372,789.91469,845.12581,914.85864,768.07602,,-33.34032795,-31.99190037,-33.83425563,-30.53724562,-24.0320552,-18.72227255,-12.01590306,-26.13233122,
Argentina,2919.1,2724.79286,2722.59169,2727.79526,2735.83799,2724.84755,2738.1291,2765.2924,2768.81102,2598.3897,-6.656405741,-6.731811517,-6.553552122,-6.278031243,-6.654532219,-6.19954438,-5.269007571,-5.148469734,-10.98661574
Australia,1772.2,1816.04194,1759.11473,1746.80707,1750.17245,1775.20806,1751.92767,1672.61079,1647.95441,1545.38207,2.473870895,-0.738363052,-1.432847873,-1.242949441,0.169735921,-1.143907573,-5.61952432,-7.010810857,-12.79866437
Austria,2990.7,2610.59765,2614.32501,2620.91389,2623.57036,2625.83693,2545.9304,2429.25949,2220.4027,2240.38362,-12.70947771,-12.58484602,-12.36453372,-12.27570937,-12.19992209,-14.87175578,-18.77287959,-25.75642157,-25.08831979
Azerbaijan,558.7,746.77729,734.02942,744.53575,777.14941,794.47555,871.62312,960.22232,1356.66848,,33.66337748,31.38167532,33.26217111,39.09959012,42.2007428,56.00914981,71.86724897,142.8259316,
Bangladesh,1709.7,1612.3625,1617.7808,1640.82363,1639.81341,1618.33663,1634.6264,,,,-5.693250278,-5.37633503,-4.02856466,-4.08765222,-5.343824648,-4.391039364,,,
Belize,1281.8,1800.6686,1805.80119,1857.04645,1801.4132,1823.96464,1878.97586,1819.11226,1787.1294,,40.47968482,40.88010532,44.87801919,40.537775,42.29713216,46.58884849,41.91857232,39.42342019,
Benin,1247.5,849.57826,867.78511,922.92387,895.0486,917.98954,929.21211,885.19656,918.27746,,-31.89753427,-30.43806733,-26.01812665,-28.25261723,-26.41366413,-25.51405932,-29.04235992,-26.39058437,
Bhutan,1068.3,1114.30085,1096.2445,1052.3862,1081.49267,1087.79637,1181.82746,1128.75648,1100.25583,983.48054,4.305986146,2.615791444,-1.489637742,1.234921838,1.824990171,10.62692689,5.659129458,2.991278667,-7.93966676
Bolivia (Plurinational State of),2083.5,1992.82935,1991.1081,2050.58563,2059.95163,2071.89256,2063.11979,2083.86034,2063.20983,2312.00262,-4.351843053,-4.434456443,-1.579763379,-1.130231341,-0.557112551,-0.978171826,0.017294936,-0.973850252,10.96724838
Bosnia and Herzegovina,2933,2420.78761,2406.97733,2448.20821,2379.79212,2385.57937,2482.61975,2519.12722,2295.90079,2180.10733,-17.46377054,-17.93462905,-16.52887112,-18.8615029,-18.66418786,-15.35561712,-14.11090283,-21.72175963,-25.66971258
Brazil,3275.5,2811.67296,2808.84827,2787.4678,2782.31637,2778.48709,2795.98714,2787.17921,2755.73466,2832.92962,-14.1604958,-14.24673271,-14.89947184,-15.0567434,-15.17365013,-14.63937903,-14.9082824,-15.86827477,-13.51153656
Bulgaria,1374.7,1593.49547,1584.81863,1611.3118,1688.22918,1704.60238,1719.69759,1673.69342,1631.54409,,15.91587037,15.28468975,17.21188623,22.80709828,23.99813632,25.09620935,21.74972139,18.68364661,
Burkina Faso,1181.6,1081.54714,1113.54299,1116.96125,1138.95171,1142.07909,1155.88355,1198.71657,1217.22713,,-8.467574475,-5.759733412,-5.47044262,-3.609367806,-3.344694482,-2.176409106,1.448592586,3.015159953,
Burundi,537.5,717.34904,730.71274,693.58309,718.8565,729.83637,758.64648,746.75135,752.99085,891.79466,33.46028651,35.94655628,29.03871442,33.74074419,35.7835107,41.14353116,38.93048372,40.09132093,65.91528558
Cambodia,1506.9,1819.17667,1856.46009,1595.33438,1662.90818,1663.94711,1577.52986,,,,20.72311832,23.19729843,5.868629637,10.35292189,10.42186675,4.687096689,,,
Cameroon,1660,1114.318,1124.938,1106.75177,1102.33115,1095.65143,1149.87338,1082.3857,,,-32.87240964,-32.2326506,-33.32820663,-33.59450904,-33.99690181,-30.73051928,-34.79604217,,
Canada,3115.1,2703.66283,2702.61992,2726.32451,2685.55446,2661.81887,2401.70768,2620.96484,2550.22346,,-13.20783185,-13.24131103,-12.48035344,-13.78914128,-14.55109403,-22.90110494,-15.86257777,-18.1334962,
China,1983.1,1805.52237,1762.44212,1762.37902,1848.48195,1825.42384,1799.39662,1797.13366,1811.4584,,-8.954547426,-11.12691644,-11.13009833,-6.788263325,-7.950993898,-9.263445111,-9.37755736,-8.65521658,
Colombia,2573.9,2428.58929,2421.84356,2383.83249,2326.58675,2301.65326,2285.49591,2234.5301,2211.64557,2313.40183,-5.645546059,-5.907628113,-7.384417033,-9.608502661,-10.57720735,-11.20494541,-13.18504604,-14.07414546,-10.12075722
Cote d'Ivoire,1451.9,1227.26123,1235.34318,1236.8819,1439.62049,1309.25935,1258.05777,1205.7523,1206.27323,,-15.47205524,-14.91540877,-14.80942902,-0.845754529,-9.824412838,-13.35093533,-16.95348853,-16.91760934,
Croatia,3086.3,2603.73385,2593.90815,2496.90198,2618.23423,2606.16998,2520.95246,2532.65064,2456.44129,2496.54583,-15.63574993,-15.95411496,-19.09723682,-15.16591939,-15.55681625,-18.31797103,-17.93893529,-20.40821404,-19.10877653
Czechia,2333.6,2024.63314,2014.83046,1976.68602,2002.59478,1987.03332,1976.64544,2022.85012,1923.73952,1879.48562,-13.23992372,-13.65999057,-15.29456548,-14.18431694,-14.85116044,-15.29630442,-13.31633013,-17.56344189,-19.45982088
Democratic People's Republic of Korea,1404.2,1470.40773,1403.90394,1394.39119,1594.65535,1428.97823,1504.41298,1616.01895,,,4.714978636,-0.021083891,-0.698533685,13.56326378,1.764579832,7.13666002,15.08467099,,
Democratic Republic of the Congo,513.6,567.62579,567.80046,658.45335,546.84124,570.61319,592.15941,626.81241,639.82651,,10.51904011,10.55304907,28.20353388,6.47220405,11.10069899,15.29583528,22.04291472,24.57681269,
Ecuador,1383.9,1523.93409,1519.82053,1565.17255,1579.39851,1586.80069,1588.03089,1567.2399,1565.39134,1566.89843,10.11880121,9.821557193,13.09867404,14.1266356,14.66151384,14.75040754,13.24805983,13.11448371,13.22338536
Egypt,2885.2,3184.81576,3186.17618,3181.28322,3201.4896,3211.58826,3204.84093,3180.52851,3203.32243,,10.38457507,10.43172674,10.2621385,10.9624844,11.31250035,11.0786403,10.23598052,11.02600964,
El Salvador,1922.5,1959.96297,1962.23349,1957.07694,1960.41333,1945.8179,1944.00781,1892.9792,1829.76054,,1.948659038,2.066761508,1.798540442,1.972084785,1.212894668,1.118741743,-1.535542263,-4.82389909,
Ethiopia,2490.3,1537.79947,1500.19468,1460.20932,1454.52236,1496.08424,1434.17358,1454.6635,,,-38.24842509,-39.75847569,-41.36411999,-41.59248444,-39.92353371,-42.40960607,-41.58681685,,
France,2174.6,2315.67053,2306.21222,2342.60757,2322.04091,2310.72402,2323.36316,2443.91094,2443.56814,2500.11973,6.487194427,6.052249609,7.725906833,6.780139336,6.259726846,6.840943622,12.38438977,12.36862595,14.96917732
Gabon,862.7,961.54665,1011.42666,935.69372,918.51723,841.17105,843.94083,880.96828,927.14497,916.41005,11.45782427,17.23967312,8.461078011,6.470062594,-2.495531471,-2.174472006,2.117570418,7.470148371,6.225808508
Georgia,4000,1948.97953,1821.11381,1825.3277,1775.10142,1704.65403,1919.32103,2083.84698,2163.05115,,-51.27551175,-54.47215475,-54.3668075,-55.6224645,-57.38364925,-52.01697425,-47.9038255,-45.92372125,
Germany,2677.5,2059.46527,2051.27967,2119.42128,1933.24885,2003.92464,2001.43114,2107.67713,2244.84582,2340.81486,-23.0825296,-23.38824762,-20.84327619,-27.79649486,-25.15687619,-25.25000411,-21.28189991,-16.15888627,-12.5746084
Ghana,1685.2,1579.24436,1573.41236,1565.00356,1530.90931,1538.00899,1532.14573,1422.5302,1384.19643,,-6.287422264,-6.633493947,-7.132473297,-9.155630786,-8.734334797,-9.082261453,-15.58686209,-17.86159328,
Greece,1858.6,2292.24542,2240.59211,2216.60098,1939.94409,1937.00171,1901.21818,1924.97865,,,23.33183149,20.55267997,19.26186269,4.376632411,4.218320779,2.293025933,3.571432799,,
Guatemala,2562.5,2564.39965,2570.55657,2557.83637,2582.54217,2576.77595,2569.98707,2545.84594,2590.77482,,0.074132683,0.314402732,-0.181995317,0.782133463,0.557110244,0.292178341,-0.649914537,1.10340761,
Honduras,2038.7,1999.73879,1989.04682,2009.7763,1996.57839,2008.06039,2017.76571,,,,-1.911081081,-2.435531466,-1.418732526,-2.066101437,-1.502899397,-1.026845048,,,
Hungary,2825.3,2589.87806,2601.11108,2583.70835,2570.58127,2543.6959,2481.5813,2483.00459,2366.78119,2231.17939,-8.332635118,-7.935048313,-8.551008742,-9.0156348,-9.967228259,-12.16574169,-12.11536509,-16.2290309,-21.02858493
India,920.7,1140.96884,1136.5281,1143.63432,1157.99379,1119.24987,1093.44618,,,,23.92406213,23.44173998,24.21356794,25.77319322,21.56509938,18.76248289,,,
Indonesia,1481.5,1420.90744,1427.01453,1431.55411,1432.81805,1432.57349,1414.81531,1404.23866,1404.90479,,-4.089946676,-3.677723253,-3.371305434,-3.28599055,-3.302498144,-4.50116031,-5.215075262,-5.170112049,
Iran (Islamic Republic of),2405.1,2331.3198,2326.94068,2325.62392,2304.29064,2310.60685,2358.80341,2367.70454,2441.56114,,-3.067656231,-3.249732651,-3.304481311,-4.191483098,-3.928865744,-1.924934098,-1.554840131,1.515992682,
Iraq,805.3,937.89662,890.21004,881.17022,901.83074,894.44315,914.78547,904.69949,852.87691,,16.4654936,10.54390165,9.421360983,11.98692909,11.06955793,13.59561282,12.3431628,5.907973426,
Italy,3926.2,3157.95947,3109.76962,3154.29141,3142.37192,3119.00892,3215.08038,3274.79744,3141.41096,2983.62811,-19.56702486,-20.79441648,-19.66045005,-19.96403851,-20.55909225,-18.11215985,-16.59117111,-19.98851408,-24.00723066
Japan,1544.8,1552.38222,1544.30258,1412.2396,1656.57959,1748.32113,1729.1586,1777.73739,,,0.490822113,-0.032199637,-8.581071983,7.2358616,13.17459412,11.93414034,15.07880567,,
Kazakhstan,2083.9,1689.65301,1629.99037,1625.65868,1831.07244,1870.16504,2116.53144,1938.74391,1969.35295,,-18.91870963,-21.78173761,-21.98960219,-12.13242286,-10.25648832,1.5658832,-6.965597677,-5.49676328,
Kenya,999.4,1091.65067,1086.51567,1069.86286,1075.19916,1083.60631,1130.09706,1117.91267,1072.58264,,9.230605363,8.716797078,7.05051631,7.58446668,8.425686412,13.07755253,11.85838203,7.322657595,
Kyrgyzstan,2009.5,1330.78487,1306.65894,1317.85095,1444.94405,1603.6358,1505.44891,1480.03939,1312.66647,,-33.77532371,-34.97591739,-34.41896243,-28.09434934,-20.19727295,-25.08340831,-26.34787808,-34.67696094,
Lao People's Democratic Republic,1790.3,1558.31136,1562.47306,1580.30086,1599.09278,1602.65351,1624.07218,1669.84239,1670.10254,,-12.95808747,-12.72562922,-11.72982964,-10.68017762,-10.48128749,-9.28491426,-6.728347763,-6.713816679,
