Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Afghanistan,1943.4,1987.12073,1995.35331,1985.66101,1986.168,1985.47169,1983.21851,1970.96939,1969.6665,1925.18374,2.249703098,2.673320469,2.174591438,2.200679222,2.164849748,2.048909643,1.418616342,1.35157456,-0.937339714
Albania,4327.1,3381.05901,3458.45705,3455.42058,3513.57815,3421.72474,3480.05789,3177.22903,3242.23482,3162.33362,-21.86316448,-20.07448291,-20.14465624,-18.80062513,-20.9233727,-19.57528391,-26.57370918,-25.07141457,-26.91794458
Algeria,1681.1,1586.81315,1609.88708,1656.91134,1676.40634,1658.49813,1701.85035,1689.26853,1752.86345,1677.59745,-5.608640176,-4.236090655,-1.43885908,-0.279201713,-1.344469098,1.234331688,0.485903872,4.268838856,-0.2083487
Angola,875.7,1026.15149,1026.08527,1025.65343,1021.8811,1034.51746,1048.88049,1076.88461,1098.26821,1118.45434,17.18071143,17.17314948,17.12383579,16.69305698,18.13605801,19.77623501,22.97414754,25.41603403,27.7211762
Argentina,2938.7,2697.74352,2682.40053,2615.22798,2623.78005,2704.8925,2720.92262,2725.76338,,,-8.199424235,-8.721525504,-11.00731684,-10.71630143,-7.956154082,-7.410670705,-7.245946167,,
Armenia,2252.8,2338.09246,2339.4353,2343.60838,2324.60813,2338.02552,2428.29204,2476.64341,2510.96595,2509.34061,3.786064453,3.845672053,4.030911754,3.187505771,3.78309304,7.78995206,9.936230913,11.45978116,11.38763361
Australia,1468.1,1881.3252,1850.1383,1895.81688,1849.79099,1883.79645,2067.92987,1938.92802,1954.17893,1922.99162,28.14693822,26.0226347,29.13404264,25.99897759,28.31526803,40.85756216,32.07056876,33.10938833,30.98505688
Austria,5923.4,6563.59423,6608.21559,6550.76805,6603.79193,6624.62346,6536.29458,6451.47922,6579.7774,6569.45331,10.80788449,11.56119104,10.59135041,11.48650994,11.83819192,10.34700645,8.915136915,11.08109194,10.90679863
Azerbaijan,3090.8,2670.15221,2683.98937,2675.37263,2677.42838,2700.19071,2685.18417,2686.7255,2706.2269,2734.96936,-13.60967355,-13.16198492,-13.44077164,-13.37425974,-12.63780542,-13.12332826,-13.07345995,-12.44251003,-11.51257409
Bangladesh,3097,2785.35082,2771.18642,2762.20159,2765.66743,2757.7889,2735.88898,2816.55113,2828.15718,2762.47517,-10.06293768,-10.52029642,-10.8104104,-10.69850081,-10.95289312,-11.66002648,-9.05550113,-8.680749758,-10.80157669
Belarus,3941.3,4391.53073,4415.02621,4439.7428,4488.51642,4587.52048,4611.55467,4685.98723,4727.47979,4865.17615,11.42340674,12.01954203,12.64665973,13.88416056,16.39612514,17.00592875,18.89445691,19.94722021,23.44089894
Belgium,8946.3,7832.698,7871.5136,7765.89755,7689.883,7623.31661,7751.74453,7959.43935,8067.51121,8030.28081,-12.44762639,-12.01375317,-13.19430882,-14.04398466,-14.78805081,-13.35250852,-11.03093625,-9.822930038,-10.2390842
Bhutan,1632.1,1747.16741,1744.29454,1732.47845,1751.49337,1760.99053,1754.2782,1777.36185,1810.82096,1823.06064,7.05026714,6.874244225,6.150263464,7.315321978,7.897220146,7.485950616,8.90030329,10.95036824,11.70030268
Bolivia (Plurinational State of),1522,1361.27745,1348.08361,1365.10877,1363.19199,1364.50539,1558.13062,3015.59021,1857.79163,1271.97242,-10.55995729,-11.42683246,-10.30822799,-10.43416623,-10.34787188,2.373890933,98.13339093,22.06252497,-16.42756767
Bosnia and Herzegovina,4602.9,4904.96367,4919.11084,4882.61005,4924.22156,4553.01576,4455.58127,4516.64334,4573.25992,4584.5537,6.562464316,6.869817724,6.076822221,6.980850333,-1.083756762,-3.200563341,-1.873963371,-0.643943601,-0.398581329
Botswana,1361.5,1416.03959,1347.77094,1283.69437,1252.09961,1180.68025,1552.32349,2261.09195,1473.55473,1266.19033,4.005845758,-1.008377525,-5.714699229,-8.035283878,-13.28092178,14.0156805,66.07359163,8.230240911,-7.000343004
Brazil,2607.9,2413.47954,2406.05277,2387.8785,2439.76436,2451.20647,2387.05714,2373.99705,2420.86622,2405.28561,-7.455058093,-7.739837801,-8.436730703,-6.447165919,-6.008417884,-8.468225776,-8.9690153,-7.171815637,-7.769254573
Bulgaria,4039.3,4078.40043,4212.54659,4309.20006,4248.69324,4129.70208,4061.11041,4104.60535,4045.92769,4129.89186,0.968000149,4.289025079,6.681852301,5.18389919,2.238063031,0.53995519,1.616749189,0.164080162,2.24276137
Burundi,716.1,818.53682,819.36675,817.27036,840.55184,831.99195,861.14481,881.0495,874.36104,845.18503,14.30482056,14.42071638,14.12796537,17.37911465,16.18376623,20.25482614,23.03442257,22.10041056,18.02611786
Cameroon,1336.5,1360.14225,1360.4486,1342.50153,1338.23684,1358.51574,1289.42237,1331.85762,,,1.768967452,1.791889263,0.44904826,0.129954358,1.647268238,-3.522456416,-0.347353535,,
Canada,3537.4,2930.46427,2835.095,2663.36434,2569.09955,2486.82132,2447.87484,2421.14304,2346.56258,2414.14715,-17.1576788,-19.85370611,-24.70842031,-27.37322468,-29.6991768,-30.80016849,-31.55585911,-33.66420026,-31.75362837
Chile,6003.8,5337.39084,5386.62191,5460.05798,5455.50437,5487.82111,5113.06659,4958.89998,4707.08834,,-11.09978947,-10.27979097,-9.056631134,-9.132476598,-8.59420517,-14.8361606,-17.40397781,-21.59818215,
China,5741.6,4831.79644,4757.95011,4604.39587,4611.2637,4621.78693,4617.18602,4631.11565,4571.82497,4452.23523,-15.84581928,-17.1319822,-19.80639769,-19.68678243,-19.50350199,-19.58363488,-19.34102602,-20.37367685,-22.45654121
Colombia,2483.2,2114.01187,2111.89399,2067.43039,2081.37785,1862.89836,1840.98967,1870.89817,1832.61719,1870.68117,-14.86743436,-14.9527227,-16.74329937,-16.18162653,-24.97993073,-25.86220723,-24.65777344,-26.19937218,-24.66651216
Croatia,5868,5420.28343,5439.88798,5366.87865,5423.39264,5176.79267,5069.47116,5090.73148,5160.99095,5163.94969,-7.629798398,-7.295705862,-8.539900307,-7.576812543,-11.77926602,-13.60819427,-13.2458848,-12.04855232,-11.99813071
Cyprus,2671.5,2350.02226,2364.14025,2390.73256,2407.30046,2415.17557,2401.45563,2316.41875,2392.86141,2429.21637,-12.03360434,-11.50513756,-10.50973011,-9.889557926,-9.594775594,-10.1083425,-13.29145611,-10.43004267,-9.069198203
Czechia,6138.9,7061.70502,7131.24487,7133.56434,7149.8329,6938.31445,6593.49936,6798.94743,6861.68926,6997.37953,15.03209077,16.16486455,16.20264771,16.46765544,13.02211227,7.40522504,10.75188438,11.77392139,13.98425663
Democratic People's Republic of Korea,1245.7,2208.09461,2232.89034,2185.44405,2159.62542,2168.65295,2164.74771,2117.8154,2115.1088,2199.9903,77.25733403,79.24783977,75.43903428,73.36641406,74.09110942,73.77761178,70.01006663,69.7927912,76.60675122
