Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Afghanistan,2237.4,1990.64036,1960.73146,1841.11536,1819.05027,1899.9455,2094.66137,2082.38346,,,-11.02885671,-12.36562707,-17.71183695,-18.6980303,-15.08243944,-6.379665236,-6.92842317,,
Albania,7090.1,6466.9725,6474.33237,6392.56621,6433.65655,6344.30104,6284.70923,6378.77444,6233.80252,,-8.788698326,-8.684893443,-9.838137544,-9.258592262,-10.51887787,-11.35937109,-10.03265906,-12.07736816,
Algeria,4595,4637.19618,4684.45645,4793.04237,4813.0744,4679.8956,4581.60579,4099.09972,4820.20958,5241.51898,0.91830642,1.946821545,4.309953645,4.74590642,1.847564744,-0.291495321,-10.79217149,4.901187813,14.07005397
Antigua and Barbuda,3081,2016.40383,2054.06602,1975.95241,1947.78507,2226.42316,2389.61228,,,,-34.55359202,-33.33119052,-35.86652353,-36.78075073,-27.73699578,-22.44036741,,,
Austria,9817.3,8327.33903,8273.36723,8253.54892,8017.32214,8083.81716,8064.98366,7821.52337,7614.17417,7787.53807,-15.17689151,-15.72665366,-15.92852495,-18.33475457,-17.65742964,-17.84926955,-20.32918043,-22.44126012,-20.67535809
Barbados,2753,2847.81998,2853.25386,2831.50754,2829.32903,2849.59798,2826.88833,,,,3.444241918,3.64162223,2.851708681,2.772576462,3.508826008,2.68392045,,,
Belarus,4202.6,4935.14231,4993.76332,4874.84756,4839.21588,5085.00084,5155.26107,5098.99678,5111.82345,,17.43069314,18.82556798,15.995992,15.14814353,20.99654595,22.66837363,21.32957645,21.63478442,
Belgium,7959.1,7928.05246,7826.83635,7823.22125,7872.60846,8190.52372,8777.61755,9351.57584,9434.19131,9542.52061,-0.390088578,-1.661791534,-1.707212499,-1.086700004,2.907661922,10.28404656,17.4953932,18.53339335,19.89446809
Belize,4665.5,2860.85688,2850.2903,2842.28413,2948.52211,3044.65958,,,,,-38.68059415,-38.90707748,-39.07868117,-36.80158375,-34.74097996,,,,
Bosnia and Herzegovina,8540,5384.12003,5316.35762,5331.90097,5230.09295,4935.40111,4971.00977,5331.16315,5314.09423,5593.42341,-36.95409801,-37.74756885,-37.56556241,-38.75769379,-42.20841792,-41.79145468,-37.57420199,-37.77407225,-34.50323876
Bulgaria,4907.9,5316.80293,5366.77715,5394.0378,5379.9098,5290.23544,5319.39987,5704.41139,5910.36131,6048.86672,8.331525296,9.349765684,9.905209968,9.617347542,7.790204364,8.384438762,16.22916909,20.42546323,23.24755435
Burkina Faso,1660.2,1994.96609,1999.49812,2573.48735,2123.50482,2096.23866,2042.89227,1801.69865,1739.69923,,20.16420251,20.43718347,55.01068245,27.90656668,26.26422479,23.05097398,8.522988194,4.788533309,
Cambodia,5920.6,4095.15963,4131.26118,4158.28226,4253.9799,4294.54351,4301.24987,4393.48013,,,-30.83201652,-30.22225484,-29.76586393,-28.14951356,-27.46438689,-27.35111526,-25.79332956,,
Canada,10069.2,9180.36538,9301.27004,9344.64758,9329.8635,9233.82591,9125.11755,9176.59636,9220.45253,,-8.82726155,-7.626524054,-7.19572975,-7.342554523,-8.296330294,-9.375942975,-8.864692726,-8.429145016,
Chad,1121,1370.98093,1435.20324,1431.83857,1431.71302,1440.53836,,,,,22.29981534,28.02883497,27.72868599,27.71748617,28.50476004,,,,
Croatia,6125.3,5685.79003,5660.27377,5704.89384,5604.16026,5526.54742,5633.71571,6448.08084,6451.52058,6351.56919,-7.175321535,-7.591893132,-6.863437872,-8.507987201,-9.775073547,-8.025472875,5.269633161,5.325789431,3.694009926
Cuba,1756.4,2139.91843,2133.75772,1846.24435,2034.78633,,,,,,21.83548338,21.48472558,5.115255637,15.84982521,,,,,
Czechia,7948.7,6688.55762,6693.15007,6724.61138,6593.51791,6617.94343,6654.22947,6391.02051,6307.27135,6362.74949,-15.85343993,-15.79566382,-15.39985935,-17.0491035,-16.74181401,-16.28531118,-19.59665719,-20.65027803,-19.95232566
Democratic People's Republic of Korea,3931.6,4054.95658,4055.3623,4032.0402,4036.27291,4136.81455,4240.86252,4254.10166,4280.7768,4302.14749,3.137566894,3.147886357,2.554690202,2.662348916,5.219619239,7.866072846,8.202809543,8.88129006,9.424852223
Democratic Republic of the Congo,768.7,1097.19125,978.17302,948.89054,,,,,,,42.73334851,27.2502953,23.44094445,,,,,,
Denmark,7225,6612.80249,6460.87473,6450.23768,6494.43104,6544.15169,6398.50833,6555.84057,6596.5103,6810.9935,-8.473321938,-10.5761283,-10.72335391,-10.11168111,-9.423506021,-11.43933107,-9.261722215,-8.698819377,-5.730193772
Egypt,8064.5,7396.65031,7382.0947,7342.41485,7249.51919,7291.29896,7160.21943,7528.94319,7579.11725,7405.95218,-8.281352719,-8.461842644,-8.953873768,-10.10578226,-9.587712071,-11.21310149,-6.640917726,-6.018758138,-8.1660093
El Salvador,2896.6,2969.7092,2973.53044,2733.41439,2796.74687,2784.11692,2849.91249,3066.20474,,,2.523966029,2.655887592,-5.633695022,-3.447252986,-3.883279707,-1.611803839,5.85530415,,
Eritrea,1000,885.36318,885.15149,863.79579,935.10364,1066.08038,,,,,-11.463682,-11.484851,-13.620421,-6.489636,6.608038,,,,
Ethiopia,4000,2674.65768,2660.44668,2615.09265,2605.956,2571.34125,2462.09574,2362.84602,2167.23983,2342.14018,-33.133558,-33.488833,-34.62268375,-34.8511,-35.71646875,-38.4476065,-40.9288495,-45.81900425,-41.4464955
France,7470.1,7274.21171,7269.31459,7256.31989,7209.08477,7116.20062,7231.66403,7601.79087,7187.16565,8092.3671,-2.622298095,-2.687854379,-2.861810551,-3.49413301,-4.737545414,-3.191871193,1.762906387,-3.78755773,8.330104015
Gambia,837,1127.07776,1148.25764,1120.88651,1092.1387,1078.27104,933.41723,,,,34.6568411,37.18729271,33.91714576,30.48252091,28.82569176,11.51938232,,,
Germany,8402.5,7484.92575,7371.07396,7319.59914,7291.25227,7544.43578,8101.43433,7973.02047,7660.00626,9040.70349,-10.9202529,-12.27522809,-12.88784124,-13.22520357,-10.21201095,-3.583048735,-5.111330318,-8.836581256,7.59540006
Ghana,2504.4,2017.42971,2028.99098,2063.1579,2040.73983,2139.08428,2012.65995,2020.73617,2289.92588,3165.38575,-19.44458912,-18.98295081,-17.61867513,-18.51382247,-14.58695576,-19.63504432,-19.31256309,-8.563892349,26.39297836
Greece,10579.5,9879.95044,9880.83265,9827.45756,9848.44234,9839.67826,9816.98718,9667.15448,9627.06608,,-6.612312113,-6.60397325,-7.108487547,-6.910134316,-6.992974526,-7.207456118,-8.623711139,-9.002636419,
Grenada,994.1,1366.77195,1206.59023,1200.66447,1277.22825,1194.41377,1154.47993,,,,37.48837642,21.3751363,20.77904336,28.48086209,20.15026355,16.13317875,,,
Guatemala,2208.9,2315.96753,2299.83884,2321.86642,2342.86016,2337.58727,2570.97371,2384.36915,2687.95329,2264.72735,4.847097198,4.116928788,5.114148219,6.064564263,5.82585314,16.3915845,7.943734438,21.6874141,2.527382408
Guinea,1500,1723.65383,1755.62106,1595.31799,1566.19021,1520.27895,1560.23162,1705.27674,,,14.91025533,17.041404,6.354532667,4.412680667,1.35193,4.015441333,13.685116,,
Guinea-Bissau,1016.4,1206.68555,1210.40613,1111.67956,1123.09322,1038.0142,1079.00268,1214.59479,,,18.72152204,19.08757674,9.374218811,10.49716844,2.126544667,6.159256198,19.49968418,,
Hungary,3386.6,5824.44584,5828.32913,5821.83953,5690.33642,5559.76775,5583.91804,5510.35801,5799.72792,6515.92227,71.98505404,72.09972037,71.90809455,68.02505226,64.16960226,64.88271541,62.71062452,71.25517983,92.40306709
India,3387.2,2839.54568,2815.61486,2886.58054,2873.46575,2917.17418,2703.05453,,,,-16.16834908,-16.87485652,-14.77974315,-15.16692991,-13.87652988,-20.19796499,,,
Indonesia,5793.6,4657.28895,4686.00569,,,,,,,,-19.61321199,-19.11754885,,,,,,,
Iraq,5987.2,3069.72719,3081.23665,3003.28945,3109.149,3103.11083,3231.72912,,,,-48.72850097,-48.53626654,-49.83816392,-48.07006614,-48.17091746,-46.02269642,,,
Italy,8332.7,9633.93406,9690.28065,9899.56118,9942.64423,9938.04023,9925.3067,9867.94637,9886.94983,8401.2701,15.61599554,16.29220601,18.80376325,19.32079914,19.26554694,19.11273297,18.42435669,18.65241554,0.822903741
Jamaica,1163,1284.89481,1288.08642,1276.99702,1277.78851,,,,,,10.48106707,10.75549613,9.801979364,9.870035254,,,,,
Japan,2588,4688.53756,4745.47109,4731.74322,4728.20823,4746.35599,4900.78867,4930.4894,4616.67872,4725.71947,81.16451159,83.36441615,82.83397295,82.69738138,83.39860858,89.36586824,90.51350077,78.3878949,82.601216
Kenya,1431.6,1711.15757,1713.79743,1659.97846,1666.62683,1671.14622,1661.09719,1699.78948,1650.70358,1997.23427,19.52763132,19.7120306,15.95267253,16.4170739,16.73276194,16.03081797,18.73354848,15.30480441,39.51063635
Lithuania,5308,6299.44096,6377.81618,6402.63726,6627.69089,6529.57235,6328.44743,6240.44652,6218.65354,,18.67823964,20.15478862,20.62240505,24.86230011,23.0137971,19.22470667,17.56681462,17.15624604,
Luxembourg,5055.6,6261.30597,6249.70855,6188.25024,6169.09988,6362.52691,6653.67627,7062.62779,6745.92572,6753.99351,23.84891942,23.61952192,22.40387372,22.02507872,25.85107425,31.61002196,39.69910179,33.43472031,33.59430157
Mali,2685.5,1664.79665,1813.45596,1771.05238,1881.59934,1976.39046,2040.00309,,,,-38.00794452,-32.47231577,-34.05129845,-29.9348598,-26.40512158,-24.03637721,,,
Mauritania,662.8,1485.07327,1230.26513,1197.74037,,,,,,,124.0605416,85.6163443,80.70916868,,,,,,
Mexico,3928.3,3389.02966,3409.51188,3362.87927,3381.68928,3309.17826,3425.11187,,,,-13.72782985,-13.20642823,-14.39352213,-13.9146888,-15.76055138,-12.80931013,,,
Netherlands (Kingdom of the),8801,8859.40556,8866.49086,8828.66018,8950.18092,9212.09037,9982.9513,10404.90204,9817.24422,10211.01912,0.663624134,0.744129758,0.314284513,1.695045109,4.670950687,13.42973867,18.22408863,11.54691762,16.02112396
Niger,676.9,1171.26769,1167.5829,1185.24278,1626.66518,1761.80262,2545.29588,,,,73.03408037,72.48971783,75.09865268,140.3110031,160.2751692,276.0224376,,,
North Macedonia,4776.9,5991.53548,5998.27951,5919.01613,5738.18897,5531.78397,5594.20736,5615.77003,5500.02798,,25.42727459,25.56845465,23.90914882,20.12369884,15.80280035,17.1095765,17.56097113,15.13801796,
Pakistan,5921.8,3833.75678,3814.88017,3994.10629,3971.13586,4204.19843,4294.20746,,,,-35.26027931,-35.57904404,-32.55249603,-32.94039211,-29.00472103,-27.48476038,,,
Poland,6977.2,6532.96122,6564.99132,6627.61548,7006.61221,7198.20706,7225.01758,7016.00084,6837.72153,6892.43158,-6.367006536,-5.907938428,-5.010384108,0.421547469,3.167560913,3.551819928,0.556109041,-1.999060798,-1.214934644
Portugal,9619.4,7587.66345,7583.55287,7436.8961,7445.43123,7362.67977,7479.63751,7132.72171,7673.0333,7452.47327,-21.12123989,-21.16397208,-22.68856581,-22.59983752,-23.46009346,-22.2442407,-25.85065898,-20.23376406,-22.52663087
Republic of Korea,5640.5,6687.69893,6670.0148,6669.87387,6722.00078,6600.01294,6971.94412,7085.71367,7226.55477,7072.89239,18.56571102,18.25219041,18.24969187,19.17384594,17.0111327,23.6050726,25.62208439,28.11904565,25.39477688
Republic of Moldova,1430.2,3991.66168,3945.23482,3790.46534,3720.61016,4179.60849,3555.16153,3574.44646,3701.26201,,179.0981457,175.8519662,165.0304391,160.1461446,192.2394413,148.5779283,149.9263362,158.7933163,
Russian Federation,5998.9,5535.04992,5601.65161,5584.78204,6478.28551,5466.43684,5302.27078,5291.54711,5079.6488,4539.4954,-7.732252246,-6.622020537,-6.903231592,7.991223558,-8.876013269,-11.61261598,-11.79137659,-15.32366267,-24.32787011
Senegal,2841.4,1795.04002,1838.50129,1816.26626,1833.26968,1811.14591,,,,,-36.82550785,-35.29593545,-36.07847329,-35.48005631,-36.25867847,,,,
Serbia,4498.2,6562.46121,6498.64174,6462.55209,6411.53968,6221.02961,6340.46592,6477.1582,6681.33273,6172.15019,45.89082766,44.47204971,43.66973656,42.53567383,38.30042261,40.95562492,43.99444667,48.53347406,37.21377862
Sierra Leone,1666.7,1845.27008,1864.85879,1769.86505,1705.49584,1614.16077,1707.49992,,,,10.71399052,11.88928961,6.189779204,2.327703846,-3.152290754,2.447946241,,,
Slovakia,4308.4,6243.72507,6284.98244,6193.88626,6121.00429,6395.20561,6669.53788,6419.52155,6571.91235,6999.02436,44.91980944,45.8774125,43.76302711,42.07140214,48.43574436,54.80312599,49.00012882,52.5371913,62.45066289
Slovenia,6684.8,6611.02266,6596.03575,6560.89207,6436.79945,6503.53291,6827.61747,7198.3004,6901.20909,7278.41877,-1.10365815,-1.327851993,-1.85357722,-3.709917275,-2.711630714,2.136450904,7.681612015,3.23733081,8.880127603
Spain,11423.4,7744.99214,7809.7409,7630.7308,7099.62812,7775.77593,7893.64936,8102.19321,8615.01529,8942.53068,-32.20063956,-31.63383143,-33.2008789,-37.85013113,-31.93115946,-30.89930003,-29.07371527,-24.58449069,-21.71743369
Sudan,1016.4,1058.32538,1056.09157,1054.53133,1108.65903,1150.60303,1231.60681,1447.88883,2570.42039,,4.124889807,3.905113144,3.751606651,9.077039551,13.20376131,21.17343664,42.45265939,152.8945681,
Sweden,6892.7,5591.97708,5634.88309,5519.826,5477.82608,5783.02327,5844.25499,5810.22304,5739.65129,6404.95607,-18.87102181,-18.248537,-19.91779709,-20.52713625,-16.09930405,-15.21094796,-15.70468699,-16.72854919,-7.076239065
Switzerland,9894,8269.19908,8258.93366,8351.31562,8270.07437,8124.27448,8257.20274,9059.48034,8432.49536,9435.53978,-16.42208328,-16.52583728,-15.59212027,-16.41323661,-17.88685587,-16.54333192,-8.434603396,-14.77162563,-4.633719628
Trinidad and Tobago,1666.7,2430.4356,2395.56118,2009.32406,2042.56173,2363.26539,2215.6244,,,,45.82321954,43.73079618,20.55703246,22.55125277,41.79308754,32.9348053,,,
Turkiye,9325.3,8571.45813,8537.96232,8578.13836,8169.16722,7628.47962,7560.59739,7407.52631,7664.16798,7331.48546,-8.083835051,-8.443027892,-8.0121995,-12.3978079,-18.19587981,-18.92381596,-20.56527608,-17.81317513,-21.38070132
