Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Algeria,1789.9,2237.46199,2226.10466,2250.09823,2211.39704,2400.97625,2441.34503,2365.98544,2013.75723,2531.37826,25.00486005,24.37033689,25.71083468,23.54863624,34.14024527,36.39561037,32.1853422,12.5066892,41.42568076
Azerbaijan,3424.2,3285.10381,3222.29956,3279.45122,3321.25423,3272.51145,3335.02289,3395.16657,3307.77619,3348.78375,-4.062151451,-5.896280591,-4.227229134,-3.006418141,-4.429897494,-2.604319549,-0.847889434,-3.400029496,-2.202448747
Belize,5287,4325.00712,4350.40868,4372.97412,4334.08484,4279.37048,4393.47876,4464.31576,4254.30289,,-18.19543938,-17.71498619,-17.28817628,-18.0237405,-19.05862531,-16.900345,-15.56051144,-19.53276168,
Benin,3893.6,3201.73182,3206.40216,3266.95493,3270.25791,3321.31272,3037.16396,3200.44858,3245.10467,3582.27186,-17.76936973,-17.64942059,-16.09423336,-16.00940235,-14.69815287,-21.99599445,-17.80232741,-16.65541735,-7.995894288
Bulgaria,6079.4,4797.41424,4782.15231,4755.65514,4752.74586,4887.16989,4829.02377,4699.58336,4547.79996,,-21.0873731,-21.33841646,-21.77426818,-21.82212291,-19.61098316,-20.5674282,-22.69659243,-25.19327631,
China,7075.7,6606.82225,6552.33057,6457.96297,6444.76287,6392.73502,6326.16221,6403.89728,6401.30845,6309.13513,-6.626591715,-7.396715943,-8.730401656,-8.91695705,-9.652260271,-10.59312563,-9.49450542,-9.531093037,-10.83376726
Colombia,4526,4434.71562,4453.01622,4466.34624,4462.06856,4429.55989,4426.32711,4376.64192,4351.07931,4319.34984,-2.016888643,-1.612544852,-1.318023862,-1.41253734,-2.130802254,-2.202229121,-3.300001768,-3.864796509,-4.565845338
Costa Rica,3818.2,3848.66386,3901.53873,3970.01232,3948.45851,3817.26936,3911.61567,3615.23694,4087.91555,4083.7224,0.797859201,2.18267063,3.976018019,3.411516159,-0.024373789,2.446589231,-5.315673878,7.063945053,6.95412498
Cuba,3469.4,3547.26169,3537.36346,3452.74967,3473.20247,3511.62835,3536.18136,3510.05095,3607.10602,3510.06244,2.244240791,1.958939874,-0.479919583,0.109600219,1.217165792,1.9248677,1.171699718,3.969159509,1.172030899
Democratic People's Republic of Korea,4202,4861.40589,4856.94962,4869.50099,4894.93325,4873.34223,4928.69797,4905.03562,4332.94434,4898.36813,15.69266754,15.58661637,15.88531628,16.49055807,15.97673084,17.29409733,16.7309762,3.116238458,16.572302
France,5483,4845.49043,4808.3658,4780.40687,4799.09441,5049.55857,5114.52376,5115.76412,5177.718,5290.99288,-11.62702116,-12.30410724,-12.81402754,-12.47320062,-7.905187489,-6.72033996,-6.697718038,-5.567791355,-3.501862484
Ghana,4206.6,2923.5528,2940.70905,2975.66749,2978.99474,3107.65742,2766.30834,2929.00522,2742.76729,,-30.50081301,-30.09297176,-29.26193387,-29.18283792,-26.12424714,-34.23885466,-30.37119717,-34.79847644,
Greece,7461.8,7266.88219,7280.82389,7321.43947,7356.42912,7316.30706,7215.95209,7163.10857,6818.31262,,-2.612208984,-2.425368008,-1.881054571,-1.412137554,-1.949837037,-3.294753411,-4.002940711,-8.623755394,
Guatemala,2570.4,2939.69138,2949.23449,2953.32645,2964.5941,2987.38808,3028.36153,3079.38184,3028.66027,,14.36707828,14.73834773,14.89754318,15.33590492,16.22269219,17.81674175,19.80165889,17.82836407,
