Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Azerbaijan,556,948.59117,895.50183,876.89333,942.59004,1008.31914,884.18386,897.14629,923.4935,,70.60992266,61.06148022,57.7146277,69.53058273,81.35236331,59.0258741,61.3572464,66.09595324,
Bhutan,895.1,1547.77543,1569.62377,1584.10125,1845.01914,1803.64691,1731.33928,1780.56733,1723.41538,1191.65599,72.91648196,75.35736454,76.97477935,106.1243593,101.5022802,93.42411798,98.92384426,92.53886493,33.13104569
Bulgaria,1071.6,1469.24201,1464.35078,1442.37394,1502.68716,1694.98199,1692.21944,1635.73178,1603.0038,,37.1073171,36.65087533,34.60003173,40.22836506,58.17301138,57.91521463,52.64387645,49.58975364,
China,1980.4,1886.4691,1933.5554,1919.49821,1902.12992,1844.95033,1922.97833,1933.94354,2037.81403,,-4.743026661,-2.365411028,-3.075226722,-3.952235912,-6.839510705,-2.899498586,-2.345811957,2.899112805,
Georgia,3000,2201.34662,2126.86761,2103.58794,1990.7244,2131.76784,2092.20968,2149.67049,2051.44617,,-26.62177933,-29.104413,-29.880402,-33.64252,-28.941072,-30.25967733,-28.344317,-31.618461,
Greece,531.3,2314.99826,2288.77012,2356.53016,2240.64874,2186.94555,2089.30571,1925.46657,,,335.7233691,330.7867721,343.5404028,321.7294824,311.621598,293.2440636,262.4066573,,
Iran (Islamic Republic of),2441.9,2275.87417,2265.24447,2261.53904,2245.72762,2250.04864,2221.0379,2202.35976,2169.83358,,-6.799042958,-7.234347434,-7.386091159,-8.03359597,-7.856642778,-9.044682419,-9.80958434,-11.14158729,
Iraq,805.6,903.15478,901.48984,898.14248,909.87133,922.94053,950.93209,969.80865,1010.65078,,12.10958044,11.90290963,11.48739821,12.94331306,14.565607,18.04022964,20.38339747,25.45317527,
Kazakhstan,1956.3,1780.63682,1806.8768,1811.78687,1885.19767,1864.50009,1855.13355,1859.9935,1886.22214,,-8.979357972,-7.638051424,-7.387063845,-3.634531002,-4.69252722,-5.171315749,-4.92289015,-3.582163267,
Kyrgyzstan,1844.1,1375.93653,1406.08828,1431.12019,1499.74215,1548.34849,1436.55561,1309.87983,1205.56225,,-25.38709777,-23.752059,-22.39465376,-18.67349113,-16.03771542,-22.09990727,-28.96915406,-34.62598286,
Nepal,1410,1170.35305,1168.3815,1162.97726,1215.33871,1219.81487,1271.01225,1277.35384,1155.23765,1072.46103,-16.99623759,-17.13606383,-17.51934326,-13.80576525,-13.48830709,-9.857287234,-9.407529078,-18.06825177,-23.93893404
Pakistan,642.9,1113.86885,1053.53279,1031.30393,968.70309,872.76322,889.57175,924.97945,801.72664,,73.25693732,63.87195365,60.41436149,50.67710219,35.75411728,38.3686032,43.87610048,24.70471924,
Republic of Moldova,1280.6,1341.51852,1324.00323,1334.03239,1399.59986,1442.65201,1438.918,1467.59841,1413.98008,,4.757029517,3.389288615,4.172449633,9.292508199,12.65438154,12.36279869,14.6024059,10.41543651,
Russian Federation,1788.8,1503.25883,1488.04906,1488.90023,1440.19881,1413.30903,1371.58073,1382.61887,1362.3685,,-15.96272194,-16.81299978,-16.76541648,-19.48799139,-20.99122149,-23.32397529,-22.70690575,-23.83897026,
Syrian Arab Republic,1766.9,1934.50593,1953.08516,1964.1038,1986.47545,1997.82891,1876.57047,1819.78833,1832.97361,,9.485875262,10.53739091,11.16100515,12.42715773,13.06972155,6.206942668,2.993283717,3.739521761,
Tajikistan,327.5,450.92572,438.60649,428.10311,419.20663,405.56274,449.50996,456.01948,544.18994,,37.68724275,33.9256458,30.71850687,28.00202443,23.83595115,37.25494962,39.24258931,66.16486718,
Turkiye,4078,3911.35462,3868.80435,3819.72363,3771.84777,3759.46947,3629.18513,3467.23767,3441.83302,,-4.086448749,-5.129859,-6.333407798,-7.507411231,-7.81094973,-11.00575944,-14.97700662,-15.59997499,
Uganda,6797,1673.5419,1666.59215,1470.63333,1511.11117,1476.2559,1736.39861,1846.93782,1882.28336,,-75.37822716,-75.48047447,-78.36349375,-77.76796866,-78.2807724,-74.45345579,-72.82716169,-72.30714492,
Ukraine,2255,1852.03729,1853.37891,1782.68643,1768.3394,1684.46558,1668.4438,1644.63403,1679.27561,,-17.86974324,-17.81024789,-20.9451694,-21.58140133,-25.3008612,-26.01136142,-27.06722705,-25.53101508,
Uzbekistan,2815,1826.49629,1862.93611,1832.67024,1772.82696,1721.21385,1778.00564,1851.64803,1867.20243,,-35.11558472,-33.82109734,-34.89626146,-37.02213286,-38.85563588,-36.83816554,-34.22209485,-33.66954067,
