Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Afghanistan,2125,1708.15555,1713.43973,1724.54915,1733.55449,1739.36916,1762.9834,1794.61862,1813.38448,1828.38786,-19.61620941,-19.36754212,-18.84474588,-18.42096518,-18.14733365,-17.03607529,-15.54735906,-14.66425976,-13.95821835
Armenia,2450.9,2326.32786,2326.72965,2258.7707,2282.3214,2296.34889,2343.13977,2283.59578,2300.59018,2342.35444,-5.082710025,-5.066316455,-7.839132564,-6.878232486,-6.305892121,-4.396761598,-6.826236077,-6.132841813,-4.428804113
Austria,5795.2,5438.86005,5438.65787,5434.66107,5462.25975,5312.86521,5306.32426,5444.19437,5448.92211,5411.24845,-6.14888097,-6.15236972,-6.221337141,-5.745103707,-8.323005073,-8.435873482,-6.056833759,-5.975253486,-6.625337348
Azerbaijan,3111.3,2779.80793,2775.22752,2775.92848,2774.8573,2875.1067,2912.40536,2987.5121,2997.67579,3012.72402,-10.65445537,-10.8016739,-10.77914441,-10.8135731,-7.59146659,-6.392653875,-3.978655225,-3.651985022,-3.16832128
Belarus,2956,3872.6929,3882.41621,3875.237,3891.21506,3861.35868,3849.33296,3927.13149,3938.77333,4011.28877,31.01126184,31.34019655,31.09732747,31.63785724,30.62783085,30.22100677,32.85289208,33.2467297,35.69989073
Belgium,9057.4,8016.90387,8031.02167,8097.32506,8110.80542,8174.63974,8025.37823,8106.20344,8031.82079,8031.04677,-11.48780147,-11.33193113,-10.59989556,-10.451063,-9.746287676,-11.39423863,-10.50187206,-11.32310829,-11.33165401
Bosnia and Herzegovina,5460,4190.55361,4191.72161,4216.17136,4206.8815,4508.98035,4472.46447,4693.15508,4740.81363,4743.03341,-23.24993388,-23.22854194,-22.78074432,-22.95088828,-17.41794231,-18.08673132,-14.04477875,-13.17191154,-13.13125623
Bulgaria,5343.8,4603.4324,4631.08431,4668.23645,4673.61613,4515.28844,4524.74081,4451.81665,4470.34583,4470.26367,-13.85470265,-13.33724484,-12.64200662,-12.54133519,-15.50416483,-15.32728003,-16.6919299,-16.34518826,-16.34672574
Canada,3405.6,3017.28959,2988.6865,2843.55477,2765.61661,2681.27262,2713.66164,2757.64635,2716.68107,2691.73639,-11.40211446,-12.24199847,-16.50355973,-18.79208921,-21.26871564,-20.31766385,-19.02612315,-20.22900311,-20.96146377
China,5855.2,4976.8254,5012.19971,4873.89984,4657.32002,4778.69512,4815.48425,4803.4353,4796.02151,4786.05842,-15.00161566,-14.39746362,-16.75946441,-20.45839561,-18.3854502,-17.75713468,-17.96291672,-18.08953563,-18.25969361
Colombia,2821.3,2162.26505,2139.10972,2035.65912,2016.71249,2017.56773,2052.4916,2052.17885,2053.53308,2073.61645,-23.35926523,-24.17999787,-27.84676851,-28.51832524,-28.48801155,-27.2501471,-27.26123241,-27.2132322,-26.50138411
